"id","father_id","mother_id","name","gender"
"9CDJ-Z5J",,,"Abraham Ben Terah","M"
"LN5F-FF3","9CDJ-Z5J",,"Isaac ben Abraham","M"
"L7XR-KG9","LN5F-FF3",,"Jacob ben Isaac","M"
"9CHS-3XG",,,"Leah bint Laban","F"
"LC8C-PPB",,,"Rachel bat Laban","F"
"LDQK-2D9","L7XR-KG9","LC8C-PPB","Benjamin ben Jacob by Rachel","M"
"LHS4-RK2","L7XR-KG9","9CHS-3XG","Yehudah Ben Ya'akov","M"
"9QJG-HN1","LHS4-RK2",,"Pharez Ben Judah","M"
"K2QJ-9J4","9QJG-HN1",,"Hezron ben Perez","M"
"G5V6-QMP","LHS4-RK2",,"Zerah ben Judah","M"
"L6LD-SCW","K2QJ-9J4",,"Aram ben Hezron ha-Judah","M"
"L7LP-661","L6LD-SCW",,"Aminadab ben Aram ha-Judah","M"
"L6Y9-86B","L7LP-661",,"Naasson ben Aminadab","M"
"LDRW-LFH","L6Y9-86B",,"Salmon ben Nahshon","M"
"GTS1-4GN",,,"Rahaab","F"
"L6HN-P1N","LDRW-LFH","GTS1-4GN","Boaz ben Salmon","M"
"LK5Q-TGJ",,,"Ruth bat Eglon of Moab","F"
"LK98-423","L6HN-P1N","LK5Q-TGJ","Obed ben Boaz ben Salmon","M"
"LDRZ-S92","LK98-423",,"Jesse ben Obed","M"
"9CXW-FKV","LDRZ-S92",,"Eliab ben Jesse 1st son","M"
"LKYP-F8Q","9CXW-FKV",,"Abihail Bat Eliab","F"
"L8FB-RKP","LDRZ-S92",,"David Ben Jesse","M"
"LZ5L-5CK",,,"Bathsheba bat Ammiel","F"
"9M8V-6W4",,,"Maachah bat Talmai","F"
"KLYG-VQ8","L8FB-RKP","LZ5L-5CK","Solomon ben David 3rd King of Israel","M"
"L5JF-4NV","L8FB-RKP","LZ5L-5CK","Nathan ben David","M"
"KVV8-FW8","L8FB-RKP","9M8V-6W4","Absalom ben David 3rd son","M"
"G6RP-N2X","L8FB-RKP",,"Jerimoth ben David","M"
"9H4G-S7G","KLYG-VQ8",,"Rehoboam ben Solomon 1st King of Judah, 4rd King of Israel","M"
"LKTM-CH6","G6RP-N2X","LKYP-F8Q","Mahalath bat Jerimoth","F"
"K4BT-WD5","KVV8-FW8","LKYP-F8Q","Maacah bat Absalom Queen of Judah","F"
"L8T5-9X7","9H4G-S7G","K4BT-WD5","Abijah ben Rehoboam, 2nd King of Judah","M"
"LD8H-7GM","L8T5-9X7",,"Asa ben Abijah 3rd King of Judea","M"
